Seq,Phase,Phase Name,ID,Module,Feature,Target Requirement,Scope Source,Priority,Status,Completion %,Depends On,Current Implementation,Next Action / Missing Work,Key Files,Evidence,Owner,Target Date,Started On,Completed On,Last Updated,Notes
242,9,Enterprise SaaS (final objective),ENT-04,User Management,Subscriptions & billing,Free/Premium/Enterprise (FR-UM-003),Enterprise-SaaS,P1,YET TO START,0,ENT-02,None,Plans + payment gateway,—,SRS Part III,,,,,2026-09-24,
243,9,Enterprise SaaS (final objective),ENT-18,User Management,Multi-device login,FR-UM-004,Enterprise-SaaS,P2,YET TO START,0,ENT-05,None,Implement,—,SRS Part III,,,,,2026-09-24,
244,9,Enterprise SaaS (final objective),ENT-19,Channels,Watchlists,BR-006,Enterprise-SaaS,P1,YET TO START,0,ENT-08,None,Implement,—,BRD-004,,,,,2026-09-24,
245,9,Enterprise SaaS (final objective),ENT-11,Channels,Per-user price & AI alerts,FR-AL-001/002,Enterprise-SaaS,P1,YET TO START,0,ENT-19,Owner-only Telegram,Implement,—,SRS Part III,,,,,2026-09-24,
246,9,Enterprise SaaS (final objective),ENT-10,Channels,Notification channels,Push; SMS; email; WhatsApp; in-app (FR-AL-003),Enterprise-SaaS,P1,YET TO START,0,ENT-11,Telegram only,Implement,—,SRS Part III,,,,,2026-09-24,
247,9,Enterprise SaaS (final objective),ENT-09,Channels,Mobile apps,Android + iOS,Enterprise-SaaS,P1,YET TO START,0,API-03,None,Build apps,—,SRS 2,,,,,2026-09-24,
248,9,Enterprise SaaS (final objective),API-03,APIs,Versioned public API,FR-API-001/003,Enterprise-SaaS,P0,YET TO START,0,SEC-02,None,/v1 API with auth and rate limits,—,SRS Part III,,,,,2026-09-24,
249,9,Enterprise SaaS (final objective),API-04,APIs,Webhooks,FR-API-002,Enterprise-SaaS,P2,YET TO START,0,API-03,None,Implement,—,SRS Part III,,,,,2026-09-24,
250,9,Enterprise SaaS (final objective),PF-12,Portfolio,Multi-broker import,Angel/Groww/Upstox/CSV (FR-PO-002),Enterprise-SaaS,P1,YET TO START,0,ENT-06,None,Importers,—,SRS Part III,,,,,2026-09-24,
251,9,Enterprise SaaS (final objective),BR-07,Broker Integration,Additional brokers,Angel/Upstox/Groww trading,Enterprise-SaaS,P1,YET TO START,0,ENT-06; BR-03,None,Adapters behind BR-03 interface,—,SRS Part III,,,,,2026-09-24,
252,9,Enterprise SaaS (final objective),ENT-15,Execution,Multi-asset trading,MF; bonds; commodities; currency (FR-PO-003),Enterprise-SaaS,P2,YET TO START,0,DP-21; BR-07,Equity cash only,Asset-specific execution/risk adapters,—,BRD-001,,,,,2026-09-24,
253,9,Enterprise SaaS (final objective),ENT-12,Reporting,Reports,Portfolio; tax; AI performance (FR-RP),Enterprise-SaaS,P1,YET TO START,0,PF-13,None,Report generation + export,—,SRS Part III,,,,,2026-09-24,
254,9,Enterprise SaaS (final objective),ENT-13,Administration,Administration console,User admin; system config (FR-AD),Enterprise-SaaS,P1,YET TO START,0,SEC-02,config.json edited by hand,Admin console,—,SRS Part III,,,,,2026-09-24,
255,9,Enterprise SaaS (final objective),SE-10,Strategy Engine,No/low-code strategy builder,FR-SB-001/002,Enterprise-SaaS,P2,YET TO START,0,SE-01; ENT-08,None,Visual builder on SE-01 interface,—,SRS Part III,,,,,2026-09-24,
256,9,Enterprise SaaS (final objective),ML-16,AI/ML,AI chat assistant,NL assistant (SRS),Enterprise-SaaS,P2,YET TO START,0,ENT-08,None,Implement,—,SRS 3,,,,,2026-09-24,
257,9,Enterprise SaaS (final objective),OPS-04,Deployment/Ops,Cloud deployment,Docker/Kubernetes on cloud (SRS),Enterprise-SaaS,P0,YET TO START,0,DBS-05; ENT-07,Local Windows only,Containerise; IaC; environments,—,SRS 2,,,,,2026-09-24,
258,9,Enterprise SaaS (final objective),ENT-16,Deployment/Ops,"Scalability, HA & observability",99.9%+ availability; horizontal scale; metrics/tracing,Enterprise-SaaS,P1,YET TO START,0,OPS-04,Single process,HA design + SLOs,—,SRS 4,,,,,2026-09-24,
